feature_label,layer,feature_id,activation_examples,activation_count,auto_category,manual_category,confidence,notes
L0_F100,0,100,Efq; itſelf; Shakspeare,3,SEMANTICS,,,
L0_F500,0,500,alanx; celotti; }]; ,4,SEMANTICS,,,
L0_F1000,0,1000,<bos>; The; the,3,SYNTAX,,,
L0_F3000,0,3000,<eos>,1,SYNTAX,,,
L0_F5000,0,5000,delas; sequently; PerformLayout,3,SEMANTICS,,,
L0_F8000,0,8000,<bos>; and; the,3,SYNTAX,,,
L0_F10000,0,10000,<bos>; use; using,3,SEMANTICS,,,
L0_F12000,0,12000,SqlCommand; apunov; Jeografia,3,SEMANTICS,,,
L0_F14000,0,14000,itſelf; ſche; beſt,3,SEMANTICS,,,
L0_F15000,0,15000,Efq; Theſe; ujednoznacz,3,SEMANTICS,,,
L3_F100,3,100,mendation; getrennt; yste,3,SEMANTICS,,,
L3_F500,3,500,aarrggbb; SBATCH; sizeCache,3,SEMANTICS,,,
L3_F1000,3,1000,nahilalakip; defaultstate; surla,3,POLYSEMANTIC,,,
L3_F3000,3,3000,截至; BorderSide; جغرافيا,3,SEMANTICS,,,
L3_F5000,3,5000,mybatisplus; InitVars; فريبيس,3,SEMANTICS,,,
L3_F8000,3,8000,titleMargin; AndEndTag; bootstrapcdn,3,SEMANTICS,,,
L3_F10000,3,10000,SEGUIR; ContentAsync; RIPRODUZIONE,3,SEMANTICS,,,
L3_F12000,3,12000,]--;; }}}; })),3,SYNTAX,,,
L3_F14000,3,14000,<bos>; quelize; GEBURTSDATUM,3,SEMANTICS,,,
L3_F15000,3,15000,MigrationBuilder; WithIOException; InstanceState,3,SEMANTICS,,,
L6_F100,6,100,باخ; Personendaten; ReusableCell,3,SEMANTICS,,,
L6_F500,6,500,createSlice; ergies; vaders,3,SEMANTICS,,,
L6_F1000,6,1000,IsContent; onOptions; WriteTagHelper,3,SEMANTICS,,,
L6_F3000,6,3000,<bos>; the; teile,3,SEMANTICS,,,
L6_F5000,6,5000,kasarigan; httphttps; SequentialGroup,3,SEMANTICS,,,
L6_F8000,6,8000,GoogleFonts; SDLK; expandindo,3,SEMANTICS,,,
L6_F10000,6,10000,""")(; makeConstraints; zinger",3,SEMANTICS,,,
L6_F12000,6,12000,đỉnh; for; ba,3,SEMANTICS,,,
L6_F14000,6,14000,المشاركات; Rüyada; EconPapers,3,SEMANTICS,,,
L6_F15000,6,15000,oa̍t; архивлан; Италијани,3,SEMANTICS,,,
L9_F100,9,100,للاسماء; GOTREF; ALLED,3,SEMANTICS,,,
L9_F500,9,500,<bos>; Wiktionnaire; Lähteet,3,SEMANTICS,,,
L9_F1000,9,1000,ProtoMessage; Personensuche; يتيمه,3,SEMANTICS,,,
L9_F3000,9,3000,Económica; Theſe; Partagez,3,SEMANTICS,,,
L9_F5000,9,5000,oprot; parsedMessage; onAttach,3,SEMANTICS,,,
L9_F8000,9,8000,SourceChecksum; propOrder; Parameterized,3,SEMANTICS,,,
L9_F10000,9,10000,استنادى; jsPsych; //};,3,SEMANTICS,,,
L9_F12000,9,12000,coltura; חיצוניים; createCanvas,3,SEMANTICS,,,
L9_F14000,9,14000,createStatement; means; buttonShape,3,SEMANTICS,,,
L9_F15000,9,15000,+#+#; DockStyle; }{*}{},3,SEMANTICS,,,
L12_F100,12,100,ytte; hah; lis,3,SEMANTICS,,,
L12_F500,12,500,setVerticalGroup; Datuak; RenderAtEndOf,3,SEMANTICS,,,
L12_F1000,12,1000,AddTagHelper; defaultstate; verwijspagina,3,POLYSEMANTIC,,,
L12_F3000,12,3000,Roskov; fubject; auffi,3,SEMANTICS,,,
L12_F5000,12,5000,principalColumn; Roskov; DeleteBehavior,3,SEMANTICS,,,
L12_F8000,12,8000,JspWriter; addCriterion; AnchorStyles,3,SEMANTICS,,,
L12_F10000,12,10000,principalColumn; webdriver; DrawerToggle,3,SEMANTICS,,,
L12_F12000,12,12000,Normdatei; RectangleBorder; ulei,3,SEMANTICS,,,
L12_F14000,12,14000,StructEnd; Források; titleMargin,3,SEMANTICS,,,
L12_F15000,12,15000,box; ersen; surla,3,SEMANTICS,,,
L15_F100,15,100,EDEFAULT; Impressive; OrNil,3,SEMANTICS,,,
L15_F500,15,500,MathML; []:; <eos>,3,SEMANTICS,,,
L15_F1000,15,1000,matchCondition; InitVars; Personendaten,3,SEMANTICS,,,
L15_F3000,15,3000,espirituales; InputDecoration; StoreMessageInfo,3,SEMANTICS,,,
L15_F5000,15,5000,ValueStyle; bewerken; --),3,SEMANTICS,,,
L15_F8000,15,8000,ſtate; Reſ; purpoſe,3,SEMANTICS,,,
L15_F10000,15,10000,staff; Staff; Signalez,3,SEMANTICS,,,
L15_F12000,15,12000,"tagext; "">//; GraphicsUnit",3,SEMANTICS,,,
L15_F14000,15,14000,propOrder; rawDesc; Practical,3,SEMANTICS,,,
L15_F15000,15,15000,ferrer; WebVitals; entrevista,3,SEMANTICS,,,
L20_F100,20,100,myſelf; verwijspagina; |}{$,3,SEMANTICS,,,
L20_F500,20,500,myſelf; Efq; raiſ,3,SEMANTICS,,,
L20_F1000,20,1000,,0,UNKNOWN,,,
L20_F3000,20,3000,ISNI; typelib; RenderAtEndOf,3,SEMANTICS,,,
L20_F5000,20,5000,IN; IN; into,3,SEMANTICS,,,
L20_F8000,20,8000,networks; network; network,3,SEMANTICS,,,
L20_F10000,20,10000,<eos>; فرا; File,3,SEMANTICS,,,
L20_F12000,20,12000,Rüyada; Expedia; pourrais,3,SEMANTICS,,,
L20_F14000,20,14000,front,1,SEMANTICS,,,
L20_F15000,20,15000,side; Side; Side,3,SEMANTICS,,,
L25_F100,25,100,findpost; ClientSize; ValueGenerated,3,SEMANTICS,,,
L25_F500,25,500,Xna; BeginInit; AttributeSet,3,SEMANTICS,,,
L25_F1000,25,1000,])[; routine; djangoproject,3,SEMANTICS,,,
L25_F3000,25,3000,Gro; queryInterface; cheibe,3,SEMANTICS,,,
L25_F5000,25,5000,vues; hesive; Checked,3,SEMANTICS,,,
L25_F8000,25,8000,free; free; Free,3,SEMANTICS,,,
L25_F10000,25,10000,متعلقه; ]--;; revalidate,3,SEMANTICS,,,
L25_F12000,25,12000,sarcoma; ArgsConstructor; tartalmaz,3,SEMANTICS,,,
L25_F14000,25,14000,Paglinawan; bootstrapcdn; ViewInit,3,SEMANTICS,,,
L25_F15000,25,15000,pleaſure; poffible; myſelf,3,SEMANTICS,,,
