feature_label,layer,feature_id,activation_examples,activation_count,auto_category,manual_category,confidence,notes
L0_F100,0,100,Efq; itſelf; Shakspeare,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L0_F500,0,500,alanx; celotti; }]; ,4,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L0_F1000,0,1000,<bos>; The; the,3,SYNTAX,SYNTAX,HIGH,VALIDATED: All special tokens and common function words. Auto was correct.
L0_F3000,0,3000,<eos>,1,SYNTAX,SYNTAX,HIGH,"100% syntax indicators (special tokens, punctuation, code syntax)"
L0_F5000,0,5000,delas; sequently; PerformLayout,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L0_F8000,0,8000,<bos>; and; the,3,SYNTAX,SYNTAX,HIGH,VALIDATED: All special tokens and common function words. Auto was correct.
L0_F10000,0,10000,<bos>; use; using,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L0_F12000,0,12000,SqlCommand; apunov; Jeografia,3,SEMANTICS,POLYSEMANTIC,HIGH,VALIDATED: SqlCommand=code apunov=name Jeografia=geographic. 3 unrelated domains = polysemantic.
L0_F14000,0,14000,itſelf; ſche; beſt,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L0_F15000,0,15000,Efq; Theſe; ujednoznacz,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L3_F100,3,100,mendation; getrennt; yste,3,SEMANTICS,UNKNOWN,MEDIUM,VALIDATED: Word fragments not coherent tokens. getrennt=German separated but others are subword artifacts.
L3_F500,3,500,aarrggbb; SBATCH; sizeCache,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L3_F1000,3,1000,nahilalakip; defaultstate; surla,3,POLYSEMANTIC,POLYSEMANTIC,HIGH,VALIDATED: nahilalakip=Filipino defaultstate=code surla=French/place. Auto was correct.
L3_F3000,3,3000,截至; BorderSide; جغرافيا,3,SEMANTICS,POLYSEMANTIC,MEDIUM,Multiple unrelated semantic domains detected Some ambiguity in examples. Disagree with auto (SEMANTICS).
L3_F5000,3,5000,mybatisplus; InitVars; فريبيس,3,SEMANTICS,SEMANTICS:CODE,HIGH,VALIDATED: All 3 are programming-related tokens. Clear code pattern.
L3_F8000,3,8000,titleMargin; AndEndTag; bootstrapcdn,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L3_F10000,3,10000,SEGUIR; ContentAsync; RIPRODUZIONE,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L3_F12000,3,12000,]--;; }}}; })),3,SYNTAX,SYNTAX,HIGH,"100% syntax indicators (special tokens, punctuation, code syntax)"
L3_F14000,3,14000,<bos>; quelize; GEBURTSDATUM,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L3_F15000,3,15000,MigrationBuilder; WithIOException; InstanceState,3,SEMANTICS,SEMANTICS:CODE,HIGH,VALIDATED: 100% programming tokens (ORM migration Java exception Android state).
L6_F100,6,100,باخ; Personendaten; ReusableCell,3,SEMANTICS,POLYSEMANTIC,HIGH,VALIDATED: Bach=music entity Personendaten=German metadata ReusableCell=iOS code. 3 unrelated domains.
L6_F500,6,500,createSlice; ergies; vaders,3,SEMANTICS,POLYSEMANTIC,HIGH,VALIDATED: createSlice=Redux code ergies=fragment vaders=Dutch fathers. Mixed domains.
L6_F1000,6,1000,IsContent; onOptions; WriteTagHelper,3,SEMANTICS,SEMANTICS:CODE,HIGH,VALIDATED: All 3 are programming tokens (ASP.NET Android C#). Clear code pattern.
L6_F3000,6,3000,<bos>; the; teile,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L6_F5000,6,5000,kasarigan; httphttps; SequentialGroup,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L6_F8000,6,8000,GoogleFonts; SDLK; expandindo,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L6_F10000,6,10000,""")(; makeConstraints; zinger",3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L6_F12000,6,12000,đỉnh; for; ba,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L6_F14000,6,14000,المشاركات; Rüyada; EconPapers,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L6_F15000,6,15000,oa̍t; архивлан; Италијани,3,SEMANTICS,SEMANTICS:CONCEPT,MEDIUM,80% semantic content with concept theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L9_F100,9,100,للاسماء; GOTREF; ALLED,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L9_F500,9,500,<bos>; Wiktionnaire; Lähteet,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L9_F1000,9,1000,ProtoMessage; Personensuche; يتيمه,3,SEMANTICS,POLYSEMANTIC,HIGH,VALIDATED: ProtoMessage=protobuf code Personensuche=German person-search يتيمه=Arabic orphan. 3 domains.
L9_F3000,9,3000,Económica; Theſe; Partagez,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L9_F5000,9,5000,oprot; parsedMessage; onAttach,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L9_F8000,9,8000,SourceChecksum; propOrder; Parameterized,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L9_F10000,9,10000,استنادى; jsPsych; //};,3,SEMANTICS,SEMANTICS:CONCEPT,MEDIUM,80% semantic content with concept theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
L9_F12000,9,12000,coltura; חיצוניים; createCanvas,3,SEMANTICS,POLYSEMANTIC,HIGH,VALIDATED: coltura=Italian cultivation חיצוניים=Hebrew external createCanvas=JS code. 3 domains.
L9_F14000,9,14000,createStatement; means; buttonShape,3,SEMANTICS,POLYSEMANTIC,MEDIUM,Multiple unrelated semantic domains detected Some ambiguity in examples. Disagree with auto (SEMANTICS).
L9_F15000,9,15000,+#+#; DockStyle; }{*}{},3,SEMANTICS,POLYSEMANTIC,MEDIUM,"Mixed signals - 67% syntax, 33% semantics Some ambiguity in examples. Disagree with auto (SEMANTICS)."
L12_F100,12,100,ytte; hah; lis,3,SEMANTICS,SEMANTICS:CODE,MEDIUM,70% semantic content with code theme Some ambiguity in examples. Disagree with auto (SEMANTICS).
